,tweet,tweetP,Category
267,It's #NationalCottonCandyDay &amp; what better way to sweeten the day than WINNING shreds of Curveball Cotton Candy ‼️🍬RT this post🍬Tag 2 friends🍬Comment your favorite Cotton Candy GIFWinner will be announced 12/10 https://t.co/JsNHiEqJ5l,It s NationalCottonCandyDay amp what better way to sweeten the day than WINNING shreds of Curveball Cotton Candy RT this post Tag 2 friends Comment your favorite Cotton Candy GIFWinner will be announced 12 10,positive
268,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
269,Our lovely jubbly and his baby star candy vibing and dancing cutely 🥺https://t.co/y0gMdMZDQq,Our lovely jubbly and his baby star candy vibing and dancing cutely,positive
270,"$1,000 GIVEAWAY💰 + one Lazy Tiger Wood Club #NFTTO ENTER:👉Retweet &amp; Follow:@LazyTigerWC👉Join the LTWC Discord:https://t.co/jy0Fu8zmhcFor a higher chance to win:- Follow us on https://t.co/8mLnYoXPmi…- Retweet our other postsWinner announcement on 10/12⌛🎉 https://t.co/h6NIWxfZx6",1 000 GIVEAWAY one Lazy Tiger Wood Club NFTTO ENTER Retweet amp Follow Join the LTWC Discord a higher chance to win Follow us on Retweet our other postsWinner announcement on 10 12,positive
271,"@sellkpopdata Candy lab pc,80k each.take all bole negoDom jateng https://t.co/EkO1QQ84kk",Candy lab pc 80k each take all bole negoDom jateng,neutral
272,it’s 3 in the morning and idk why im up thinking about a candy apple.. 😭,it s 3 in the morning and idk why im up thinking about a candy apple,neutral
273,Romance isn't always cotton candy - The Swoon Netflix #ThatWinterTheWindBlows#SongHyeKyo #JoInSung 🥰Watch this SBS drama that gave Kyo her first Daesang for dramas at NETFLIX 😍 https://t.co/ISimYNxlve,Romance isn t always cotton candy The Swoon Netflix ThatWinterTheWindBlows SongHyeKyo JoInSung Watch this SBS drama that gave Kyo her first Daesang for dramas at NETFLIX,positive
274,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
275,@Candy__Spice Thank you 😊🙏,Spice Thank you,neutral
276,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
277,$100 GIVEAWAY ~ 24 HOURS ⏳️ - RT &amp; Follow @gemhostofficial (🔔),100 GIVEAWAY 24 HOURS RT amp Follow,neutral
278,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
279,In the mood to go shake my ass at the club 🥺,In the mood to go shake my ass at the club,neutral
280,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
281,@PreetieJules Very much! Enjoy it 🥰,Very much Enjoy it,positive
282,@baekhyunn_candy i think the exos are forgetting love shot exists too,candy i think the exos are forgetting love shot exists too,positive
283,baby star candy ever since 🌟 https://t.co/Xde29wuZnE,baby star candy ever since,neutral
284,living out crying in h mart by jbrekkie rn but instead of h mart its my bedroom full of candy from seafood city,living out crying in h mart by jbrekkie rn but instead of h mart its my bedroom full of candy from seafood city,positive
285,@NNNR65 I bet he'd taste like a blueberry Icee mixed with cotton candy,I bet he d taste like a blueberry Icee mixed with cotton candy,neutral
286,"#FBSPHGO #TWICE[Pre-order] [Restock]▪TWICE CANDY BONG Z - PHP 2550ORDER FORM: https://t.co/HVwUvRhano 💸 Pay half of the price as you order💸 Balance: December 30, 2021 💯 Official from Korea and Sealed💯 with freebies from our shop📌Normal ETA https://t.co/dDQO0ZQz2a",FBSPHGO TWICE Pre order Restock TWICE CANDY BONG Z PHP 2550ORDER FORM Pay half of the price as you order Balance December 30 2021 Official from Korea and Sealed with freebies from our shop Normal ETA,negative
287,A stranger tried to lure me into a space. They don't even have the decency to have a white van &amp; candy anymore.,A stranger tried to lure me into a space They don t even have the decency to have a white van amp candy anymore,neutral
288,forbidden beach candy https://t.co/JqHwV9VPM5,forbidden beach candy,neutral
289,Pregnancy privilege is a thing!😍❤,Pregnancy privilege is a thing,neutral
290,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
291,"Crypto Car Society (@ccsNFT) is going to be the next blue chip NFT! 💎👀🔹7,777 Unique 2D Cars!🔸500+ Hand-drawn features!🔹Low Supply, HQ Art, Community Driven!🔹Expecting AT LEAST a 5X after Mint!Follow &amp; Join the Society! 🚀@ccsNFT - https://t.co/5Ymwl71SnY https://t.co/71U7xa1nyP",Crypto Car Society is going to be the next blue chip NFT 7 777 Unique 2D Cars 500 Hand drawn features Low Supply HQ Art Community Driven Expecting AT LEAST a 5X after Mint Follow amp Join the Society,positive
292,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
293,"""""""#ATINY! With """"""""The Real"""""""" dropping as a new title track""",ATINY With The Real dropping as a new title track,positive
294,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
295,"No matter how long you dig through your kid’s candy stash, it doesn’t make any more Twix appear.",No matter how long you dig through your kid s candy stash it doesn t make any more Twix appear,positive
296,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
297,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
298,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
299,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
