,tweet,tweetP,Category
6117,Dear Cressida @metpoliceuk I would like to complain about the abuse of power and contempt for Covid rules by 10 Downing Street on 18/12/20. Please investigate. Could you also look at the award of peerages for cash while you are at it. Thank you. https://t.co/Ti1BRm5QkH,dear cressida would like complain abuse power contempt covid rules 10 downing street 18 12 20 please investigate could also look award peerages cash thank you,neutral
6118,The Omnicron variant is just another example of how COVID will be prolonged if rich nations and Big Pharma keep blocking vaccine distribution. https://t.co/dPIjn1EW7I,the omnicron variant another example covid prolonged rich nations big pharma keep blocking vaccine distribution,positive
6119,"We will never forget the Covid disaster in India. Thanks to the government incompetence we were all forced to run around for meds, beds and oxygen. Even lost so many loved ones. The govt must compensate the losses. #SpeakUpForCovidNYAY https://t.co/MzVccMPDhy",we never forget covid disaster india thanks government incompetence forced run around meds beds oxygen even lost many loved ones govt must compensate losses speakupforcovidnyay,positive
6120,Don't know if this is Covid or just a hang over.,don know covid hang over,neutral
6121,#SaturdayMotivation this is a lovely memory from 2019. We had an awful year and I was on this date cancer free after chemo and surgery. This was my 14 yr old Jack in his first play.The last one due to Covid. Pure joy watching young people sing and act. @carndonaghcs thank you https://t.co/crIWkAPFF3,saturdaymotivation lovely memory 2019 awful year date cancer free chemo surgery 14 yr old jack first play last one due covid pure joy watching young people sing act thank you,positive
6122,Australia is effectively operating concentration camps for Covid-positive people and police gets them there against their will while no western leader spesks out. The world is at a very dark path right now.,australia effectively operating concentration camps covid positive people police gets western leader spesks world dark path right now,positive
6123,"@consent_factory @veen_els And now Hollywood is also trying to drive young people crazy with this film, by linking Covid to climate change. https://t.co/aCmwcnqOcG",factory els hollywood also trying drive young people crazy film linking covid climate change,negative
6124,Data supporting the effectiveness of mask mandates in Missouri was kept private for a month until state public health officials released it this week in response to a public records request. https://t.co/ZOQtJzGDeO,data supporting effectiveness mask mandates missouri kept private month state public health officials released week response public records request,positive
6125,"Results of COVID-19 tests done on 2 December 2021 confirm 32 new cases. The cumulative confirmed cases are 127,616. #STAYSAFEUG https://t.co/quMqLbfIRT",results covid 19 tests done 2 december 2021 confirm 32 new cases cumulative confirmed cases 127 616 staysafeug,positive
6126,#LISA is now free of COVID-19 and has come out of self-isolation! 🙏🏻https://t.co/cwwhDXSJx9 https://t.co/SOrIQ4CxLq,lisa free covid 19 come self isolation,positive
6127,"""""""""""""""Mass vaccination is now turning Covid-19 into a disease of young&amp;healthy unvaccinated people""",mass vaccination turning covid 19 disease young amp healthy unvaccinated people,positive
6128,"If Mr Johnson and his govt get away with their behaviour over parties at 10 Downing Street during Tier 3 Covid restrictions in 2020 whilst the rest of us cancelled Christmas and followed the rules, then frankly we deserve to be ridiculed for our collective slumbering sycophancy.",if mr johnson govt get away behaviour parties 10 downing street tier 3 covid restrictions 2020 whilst rest us cancelled christmas followed rules frankly deserve ridiculed collective slumbering sycophancy,neutral
6129,"Almost 86,000 people have applied for their Domestic Cert through COVIDCert NI since MondayIn total, over 250,000 users have activated their Domestic CertApply online https://t.co/TToosuYqNkDon't have a 📱? Call 0300 200 7814 to request a paper copyhttps://t.co/LfZaGC5yrL https://t.co/lvTXA9gCUa",almost 86 000 people applied domestic cert covidcert ni since mondayin total 250 000 users activated domestic certapply online call 0300 200 7814 request paper,neutral
6130,"The Central govt's priorities are pretty clear: PR over people. That is why it has sufficient funds for vanity projects, but not to compensate those families who lost their loved one to Covid. #SpeakUpForCovidNyay https://t.co/qN7wjuZSkg",the central govt priorities pretty clear pr people sufficient funds vanity projects compensate families lost loved one covid speakupforcovidnyay,positive
6131,"We're searching for individuals aged 56 &amp;over who have received 2 doses of authorised COVID-19 vaccines in the last 4-10 months, but have not received an additional booster dose.For more info contact whh.halton.cru@nhs.net, 01928 753303 @LivHospitals @NIHRCRN_nwcoast https://t.co/1qfiJmpM18",we searching individuals aged 56 amp received 2 doses authorised covid 19 vaccines last 4 10 months received additional booster dose info contact whh halton cru net 01928 753303 nwcoast,negative
6132,GPs in England get green light to provide less care and join Covid jab drive | Health policy | The Guardian https://t.co/MCy9jucefs,gps england get green light provide less care join covid jab drive health policy guardian,positive
6133,"Shri @VamsiChandReddy, Secretary-AICC @INCIndia demands NYAY for the families of Covid victims.#SpeakUpForCovidNyay https://t.co/o9r8S1b2JL",shri secretary aicc demands nyay families covid victims speakupforcovidnyay,neutral
6134,Is the booster jab going to be compulsory for a vaccine pass?I suppose we all know the answer to thatWasn’t planning on getting one. Pretty sure by this point my Covid risk is lower than the risk of the jab. But I’m sure government will find a way of blackmailing me into it,is booster jab going compulsory vaccine pass suppose know answer thatwasn planning getting one pretty sure point covid risk lower risk jab sure government find way blackmailing it,positive
6135,"The SC directed the Central govt to give compensation, but till today the govt has not acted upon it. Central govt should listen to the appeal of Shri @RahulGandhi and pay compensation of Rs 4 lakh to Covid victims' families.: Shri @DKShivakumar Ji#SpeakUpForCovidNyay https://t.co/zNVONGfcvq",the sc directed central govt give compensation till today govt acted upon central govt listen appeal shri pay compensation rs 4 lakh covid victims families shri ji speakupforcovidnyay,neutral
6136,"As per the NDMA,the government is required to compensate the families of covid victims with Rs 4 lakh.The Modi govt has carefully tried to wriggle its way out of compensating the fair amount and is trying to settle compensation of a meagre amount of Rs 50,000 #SpeakUpForCovidNyay https://t.co/NGyPg6sxJv",as per ndma government required compensate families covid victims rs 4 lakh modi govt carefully tried wriggle way compensating fair amount trying settle compensation meagre amount rs 50 000 speakupforcovidnyay,positive
6137,"""""""""""""""Educating the mind without educating the heart is no education at all"""""""" - Aristotle.The COVID-19 pandemic taught us several lessons""",educating mind without educating heart education aristotle covid 19 pandemic taught us several lessons,neutral
6138,"5. I stopped tweeting about COVID three months ago, because it was disheartening to see what was going to happen and not be able to do anything to prevent it. And the abuse. Lol. 20 months of abuse from thousands of people who don't know better takes a toll.",5 stopped tweeting covid three months ago disheartening see going happen able anything prevent abuse lol 20 months abuse thousands people know better takes toll,positive
6139,YG Entertainment reports that BLACKPINK’s Lisa has recovered from COVID-19 and has come out of self-isolation. 🤍 https://t.co/4BGSt1c35Q,yg entertainment reports blackpink lisa recovered covid 19 come self isolation,neutral
6140,I want to draw our people's attention to 2 things: - till now Modi govt has not shared exact list of those who died of Covid- it has collected lakhs of crores under PM Cares Fund but cannot compensate Rs.4 lakh to covid victims' families: Shri @ripunbora #SpeakUpForCovidNyay https://t.co/6tlVboqaDn,i want draw people attention 2 things till modi govt shared exact list died covid collected lakhs crores pm cares fund cannot compensate rs 4 lakh covid victims families shri speakupforcovidnyay,positive
6141,Myocarditis has a 50% survival rate Covid has an overwhelming 99.85% survival rateWho in their right minds takes 3 jabs in 6 months for those odds 🤦‍♂️It’s not an IQ test FFS,myocarditis 50 survival rate covid overwhelming 99 85 survival ratewho right minds takes 3 jabs 6 months odds iq test ffs,positive
6142,Wayne is such a good Covid Marshal. ❤ https://t.co/pcvwf1M5Ce,wayne good covid marshal,positive
6143,When your double-jabbed family is coming down with Covid and your unvaxxed ass is doing just fine with supplements 🤣 https://t.co/O28sy4SiK4,when double jabbed family coming covid unvaxxed ass fine supplements,positive
6144,"Before BB15 Dr. @realumarriaz was serving the country as a Covid frontline worker and saving lives. Even though he is a contestant on the show, time and again whenever someone has needed medical assistance he has put his game aside and helped out. @ColorsTV ROAR LIKE SHER UMAR",before bb15 dr serving country covid frontline worker saving lives even though contestant show time whenever someone needed medical assistance put game aside helped roar like sher umar,negative
6145,YG Announces #BLACKPINK's #Lisa Has Recovered From COVID-19 + Is Released From Self-Quarantinehttps://t.co/NpqHx3bnpg https://t.co/FpCDfJuAsk,yg announces blackpink lisa recovered covid 19 released self,neutral
6146,YG Announces #BLACKPINK's #Lisa Has Recovered From COVID-19 + Is Released From Self-Quarantinehttps://t.co/NpqHx3bnpg https://t.co/FpCDfJuAsk,yg announces blackpink lisa recovered covid 19 released self,neutral
6147,chungha's reaction when i told her i am a programmer that worked on a covid-19 vaccine chungha: *audible gasp* WOW https://t.co/eg0T1M8U6q,chungha reaction told programmer worked covid 19 vaccine chungha audible gasp wow,positive
6148,"@flyethiopian The best  airline in the  world, helped Africa and other countries during the covid-19 crisis without closing it's flight in the world. Thank you  Ethiopia Airline, fly safe",the best airline world helped africa countries covid 19 crisis without closing flight world thank ethiopia airline fly safe,positive
6149,New Zealand’s ministry of education orders air purifiers and Co2 monitors for schools.https://t.co/55LusvbUHL,new zealand ministry education orders air purifiers co2 monitors schools,positive
6150,"Q: Should I cancel my vacation because of Omicron?No. Get your 3rd shot to be fully vaccinated, wear a KN95 mask during flight, carry a couple of rapid COVID tests along for peace of mind and GO! Live! Laugh!If unvaccinated, COVID may ruin your holiday, whether you go or not",q cancel vacation omicron get 3rd shot fully vaccinated wear kn95 mask flight carry couple rapid covid tests along peace mind go live laugh unvaccinated covid may ruin holiday whether go not,positive
6151,this is a brilliant depiction of the covid situation https://t.co/H43gLVbPPq,this brilliant depiction covid situation,positive
6152,Renowned virologist warns of ‘collapse of our health system’ due to complications from COVID vaccines - LifeSite https://t.co/583XC0QqQ9 👇🙌@2021LOVEISRAEL,renowned virologist warns collapse health system due complications covid vaccines lifesite,negative
6153,"Trump declared the state of emergency, made Fauci the head of the response, champion lockdowns early and brags about the vaccines. Just yesterday 80 house republicans voted to expand CDC and create a Vaccine database.The Republicans are not a party that opposes the covid regime",trump declared state emergency made fauci head response champion lockdowns early brags vaccines yesterday 80 house republicans voted expand cdc create vaccine database republicans party opposes covid regime,positive
6154,@Simon_SydneyAU Pre COVID via a travel agency was the last time I paid cash for an airfare... Think you may have missed the point about discrimination and access to banking services and a few others.I did move on. Directly to the next bagel shop that accepted my cold hard cash.,sydneyau pre covid via travel agency last time paid cash airfare think may missed point discrimination access banking services others move directly next bagel shop accepted cold hard cash,negative
6155,"Before BB15 Dr. @realumarriaz was serving the country as a Covid frontline worker and saving lives. Even though he is a contestant on the show, time and again whenever someone has needed medical assistance he has put his game aside and helped out. @ColorsTV ROAR LIKE SHER UMAR",before bb15 dr serving country covid frontline worker saving lives even though contestant show time whenever someone needed medical assistance put game aside helped roar like sher umar,negative
6156,I urge upon the central govt and the Prime Minister to properly audit the number of those who died of Covid  in the last 2 years and show a proper picture.: Shri K H Muniyappa#SpeakUpForCovidNyay https://t.co/sytq4gWgym,i urge upon central govt prime minister properly audit number died covid last 2 years show proper picture shri k h muniyappa speakupforcovidnyay,neutral
6157,"New Omicron Covid-19 variant has caused no deaths yet, says WHO https://t.co/Dm9Z7ZXUGR",new omicron covid 19 variant caused deaths yet says who,positive
6158,Record Post Covid Opening in KBO ✅All Time Record Show Count ✅️All Time Record GCC Premier ✅All Time Record Opening In Australia ✅️More To Come !!!! ❤️#Marakkar | @Mohanlal https://t.co/WXF38T8CwV,record post covid opening kbo time record show count time record gcc premier time record opening australia come marakkar,neutral
6159,Things do truly “move at the speed of science” in the COVID era! #Covidvaccines GreenLight and IAVI begin work on Omicron variant--adapted COVID-1 https://t.co/q1ZihMnuAM,things truly move speed science covid era covidvaccines greenlight iavi begin work omicron variant adapted covid 1,neutral
6160,"Forcing the public by law to take a COVID vaccine is reprehensible.It will tear society apart, cause unspeakable anger and set a horrific precedent. Choice, autonomy and freedom still matter in my view.I'm ashamed it's being discussed and even implemented in places.",forcing public law take covid vaccine reprehensible tear society apart cause unspeakable anger set horrific precedent choice autonomy freedom still matter view ashamed discussed even implemented places,negative
6161,angeke those 16 055 new Covid-19 are cooked.,angeke 16 055 new covid 19 cooked,positive
6162,"I wish the 100's of kids infected with covid each day had the same attention as delusional, ignorant, selfish protesters.Parents concerns are drowned out by the noise of an unhinged minority.Stop giving them the attention they need to be relevant. Our kids must be protected.",i wish 100 kids infected covid day attention delusional ignorant selfish protesters parents concerns drowned noise unhinged minority stop giving attention need relevant kids must protected,negative
6163,this is a brilliant depiction of the covid situation https://t.co/H43gLVbPPq,this brilliant depiction covid situation,positive
6164,YG Announces #BLACKPINK's #Lisa Has Recovered From COVID-19 + Is Released From Self-Quarantinehttps://t.co/NpqHx3bnpg https://t.co/FpCDfJuAsk,yg announces blackpink lisa recovered covid 19 released self,neutral
6165,"Just to let you all know, I have spent a lot of time in COVID Courts in recent months. It’s mostly handing out fines (quiet significant ones) for breaking the rules in a much lesser way than alleged at Downing Street last Christmas. #downingstreetparty",just let know spent lot time covid courts recent months mostly handing fines quiet significant ones breaking rules much lesser way alleged downing street last christmas downingstreetparty,positive
6166,Jamnagar man who returned from Zimbabwe found infected with Omicron variant of COVID-19: Gujarat health department,jamnagar man returned zimbabwe found infected omicron variant covid 19 gujarat health department,neutral
6167,@sarindau @ChanakyaDissan1 The SLPP is a victim of its own propaganda. MR missed the post war opportunity to bring in reforms and GR will miss opportunities created by Covid 19 to fix things.,the slpp victim propaganda mr missed post war opportunity bring reforms gr miss opportunities created covid 19 fix things,negative
6168,Team india South afroca test series is on after assurances from csa on Covid and clearance front govt. However test series which was to start on 17th will start on 26th December. Tests and ODIs will be pished behind while T20 series will not be played in this tour  #Omicron,team india south afroca test series assurances csa covid clearance front govt however test series start 17th start 26th december tests odis pished behind t20 series played tour omicron,negative
6169,The Omnicron variant is just another example of how COVID will be prolonged if rich nations and Big Pharma keep blocking vaccine distribution. https://t.co/dPIjn1EW7I,the omnicron variant another example covid prolonged rich nations big pharma keep blocking vaccine distribution,positive
6170,"People (including Guluva) sat, discussed and agreed that traveling for CAF purposes is exceptional and COVid isn’t. Why are you shifting it and making it as though the club being granted the postponement is the one that made the decision https://t.co/0RjIhGfNtK",people including guluva sat discussed agreed traveling caf purposes exceptional covid shifting making though club granted postponement one made decision,positive
6171,Bolsonaro to face probe after claiming COVID vaccines increase chance of contracting AIDS https://t.co/Va8uaoUiUT,bolsonaro face probe claiming covid vaccines increase chance contracting aids,neutral
6172,“A greater emphasis on air quality in places such as Japan has meant there are now fewer (COVID) cases in Tokyo (population 14M) than there are in Rathfarnham (population 5000).” https://t.co/tSydsMzslZ via @IrishTimes,a greater emphasis air quality places japan meant fewer covid cases tokyo population 14m rathfarnham population 5000 via,positive
6173,"""""""""""""""The White House has created for itself a toxic Covid loop. With each new surge it rolls out more restrictions and actions. With each failure of these measures to beat the virus""",the white house created toxic covid loop new surge rolls restrictions actions failure measures beat virus,negative
6174,"#India should prioritise double vaccinating its eligible population against #Covid over booster shots given the large number of people still to get the base layer of protection against the infection, say scientists https://t.co/lZcqDTq1cy",india prioritise double vaccinating eligible population covid booster shots given large number people still get base layer protection infection say scientists,negative
6175,"Covid is a deadly pandemic. It killed science, logic, evidence-based medicine, and common sense ⚰️",covid deadly pandemic killed science logic evidence based medicine common sense,negative
6176,"The no data available govt, please tell the actual number of Covid deaths in our country. Please tell the truth to our people, to the nation.: Dr. Sake Sailajanath#SpeakUpForCovidNyay https://t.co/EKj8Knoela",the data available govt please tell actual number covid deaths country please tell truth people nation dr sake sailajanath speakupforcovidnyay,positive
6177,Stop COVID-19 hanging around. Open windows at home to significantly reduce the amount of COVID-19 in the air. https://t.co/PZY4UdQkk9,stop covid 19 hanging around open windows home significantly reduce amount covid 19 air,positive
6178,Mild COVID-19 infection does not alter the ovarian reserve in women treated with ART https://t.co/PxCDZfDjQh,mild covid 19 infection alter ovarian reserve women treated art,positive
6179,First 2 cases of #Omnicron found in India. We've crushed COVID in the past and we have the calibre to do it again under the strong leadership of @narendramodi Ji. I urge people to say calm and follow necessary precautions.,first 2 cases omnicron found india crushed covid past calibre strong leadership ji urge people say calm follow necessary precautions,positive
6180,YG Entertainment has confirmed that Lisa is now free of COVID-19 and has come out of self-isolation! 🙏 @BLACKPINK https://t.co/rgMdgQrFZr,yg entertainment confirmed lisa free covid 19 come self isolation,positive
6181,YG Announces #BLACKPINK's #Lisa Has Recovered From COVID-19 + Is Released From Self-Quarantinehttps://t.co/NpqHx3bnpg https://t.co/FpCDfJuAsk,yg announces blackpink lisa recovered covid 19 released self,neutral
6182,"Covid has caused innumerable hardships around the world, but it is most unfortunate that the BJP refuses to respond to it in a humane manner.Hence today we raise our voice #SpeakUpforCovidNyay",covid caused innumerable hardships around world unfortunate bjp refuses respond humane manner hence today raise voice speakupforcovidnyay,negative
6183,The NHS is working on plans to offer #COVID19 booster doses from a minimum of three months after the second dose 📅 Please wait until you are called forward by the NHS before trying to book at this interval. More info: https://t.co/nmFGy0ojEJ https://t.co/eJhi4qSMGd,the nhs working plans offer covid19 booster doses minimum three months second dose please wait called forward nhs trying book interval info,neutral
6184,"Given infection acquired “herd” immunity hasn’t delivered us from the cold, nor did it help defeat Smallpox or Polio, why does anyone think COVID might be different?",given infection acquired herd immunity delivered us cold help defeat smallpox polio anyone think covid might different,negative
6185,YG Entertainment has confirmed that Lisa is now free of COVID-19 and has come out of self-isolation! 🙏 @BLACKPINK https://t.co/rgMdgQrFZr,yg entertainment confirmed lisa free covid 19 come self isolation,positive
6186,"South Australians are now closely watching exposure sites and reassessing all their plans, whereas when we were covid zero, we were living carefree. How is it good for the economy to have everyone on tenterhooks right when we’re wanting to be celebrating, going shopping etc? 🤷🏼‍♀️",south australians closely watching exposure sites reassessing plans whereas covid zero living carefree good economy everyone tenterhooks right wanting celebrating going shopping etc,positive
6187,Just got my results. Turns out the bad flu is Covid 19. Take care of yourselves guys. I’m so thankful for vaccines. I’d probably be in hospital if I didn’t vaccinate. https://t.co/OVhXLSHpdd,just got results turns bad flu covid 19 take care guys thankful vaccines probably hospital vaccinate,negative
6188,I can’t fucking do this again. I can’t. It’s like hearing about each new COVID variant popping up https://t.co/rb8lTA3ULJ,i fucking like hearing new covid variant popping up,negative
6189,"We’re still in a pandemic because it’s still unpredictable. ‘Endemic’ means predictable rates and disease spread. Whether high or low endemicity, we’re still not there for covid. And yes pandemics can last for years. Rather than continued denial we need structural mitigation.",we still pandemic still unpredictable endemic means predictable rates disease spread whether high low endemicity still covid yes pandemics last years rather continued denial need structural mitigation,negative
6190,@woodsharp Yes it's completely baffling. 490000 missed cancer screening and it has no impact on them. But as you said: one 90 year old dying of covid. Trying to get this point across to them is like talking to a solid brick wall.,yes completely baffling 490000 missed cancer screening impact said one 90 year old dying covid trying get point across like talking solid brick wall,positive
6191,YG Entertainment has confirmed that Lisa is now free of COVID-19 and has come out of self-isolation! 🙏 @BLACKPINK https://t.co/nt38axWrNw,yg entertainment confirmed lisa free covid 19 come self isolation,positive
6192,"See some people wondering what the point of vaccines was, as restrictions are back.Worth remembering that vaccines have dramatically cut Covid deaths. About 100,000 Covid cases reported in both January and November.January: 1,420 deathsNovember: 160 deaths",see people wondering point vaccines restrictions back worth remembering vaccines dramatically cut covid deaths 100 000 covid cases reported january november january 1 420 deathsnovember 160 deaths,positive
6193,‘America’s Got Talent’ Heavy Metal Rocker Dies of COVID https://t.co/pWOs1n6NzV via @thedailybeast,america got talent heavy metal rocker dies covid via,negative
6194,Ex-chief prosecutor demands Covid inquiry investigates No10 Christmas party https://t.co/vyigi3egoy,ex chief prosecutor demands covid inquiry investigates no10 christmas party,neutral
6195,"BREAKING REPORT: Bette Midler calls for Trump to be arrested for ATTEMPTED MURDER, says he tried to infect Biden with COVID-19...",breaking report bette midler calls trump arrested attempted murder says tried infect biden covid 19,neutral
6196,@MichaelPSenger A pandemic of cardiac stress disorders 🤣https://t.co/TK4A6vBwAT,a pandemic cardiac stress disorders,negative
6197,"Omicron: NCBS monitoring Bengaluru, Hyderabad, Pune, New Delhi -- top 4 cities reporting Covid variant - IBTimes India https://t.co/j71JWNAyi4",omicron ncbs monitoring bengaluru hyderabad pune new delhi top 4 cities reporting covid variant ibtimes india,positive
6198,The Omnicron variant is just another example of how COVID will be prolonged if rich nations and Big Pharma keep blocking vaccine distribution. https://t.co/dPIjn1EW7I,the omnicron variant another example covid prolonged rich nations big pharma keep blocking vaccine distribution,positive
6199,"Still deeply disappointing that over 65s in South Africa aren't eligible for Covid-19 boosters. The vaccine sites are EMPTY, the vaccine fridges are FULL. Get on with it.",still deeply disappointing 65s south africa eligible covid 19 boosters vaccine sites empty vaccine fridges full get it,negative
6200,"@DrZoeHyde Every parent knows kids going to school brings home the flue or cold and infects the whole family. Kids are the number 1 spreaders. Doesn’t make sense, why should covid be any different.",every parent knows kids going school brings home flue cold infects whole family kids number 1 spreaders make sense covid different,negative
6201,Minnesota man with Omicron met about 35 friends at Anime NYC and about half of them have since tested positive for COVID - WaPo,minnesota man omicron met 35 friends anime nyc half since tested positive covid wapo,positive
6202,@hobson9999 @Patrick10599096 @BBCNewsnight @lewis_goodall Ireland most resilient C19 nation in the world in Sept/Oct. Dropped to 4th in most recent ranking. Wonderful community response to covid.Mad bastard anti-vaxxers a tiny but vocal minority.Maybe you didn't look hard enoughhttps://t.co/3YqONiRTOJ,goodall ireland resilient c19 nation world sept oct dropped 4th recent ranking wonderful community response covid mad bastard anti vaxxers tiny vocal minority maybe look hard,positive
6203,ALHAMDULILLAH. 🙏😭YG Entertainment confirmed LISA came out of self isolation &amp; completely cured from COVID 19.I'M SO HAPPY.MAY ALLAH BLESS YOU MORE LISA. I LOVE YOU BEYOND TIME MY SUPERMODEL. 😎👸THANK YOU YA ALLAH. 😭 #LALISA #MONEY#LISAXCELINE I VOTE #MAMAVOTE #lisa https://t.co/NK3JvOvSfV,alhamdulillah yg entertainment confirmed lisa came self isolation amp completely cured covid 19 happy may allah bless lisa love beyond time supermodel thank ya allah lalisa money lisaxceline vote mamavote lisa,positive
6204,"How should this justice be provided by our feckless and irresponsible govt? Tell the truth. Tell the truth of how many Covid deaths there were, and provide a modest compensation of Rs 4 lakhs.: Shri @ShashiTharoor Ji #SpeakUpForCovidNyay https://t.co/VlmucUw4Tu",how justice provided feckless irresponsible govt tell truth tell truth many covid deaths provide modest compensation rs 4 lakhs shri ji speakupforcovidnyay,positive
6205,I can’t fucking do this again. I can’t. It’s like hearing about each new COVID variant popping up https://t.co/rb8lTA3ULJ,i fucking like hearing new covid variant popping up,negative
6206,It's outrageous that @Amazon continues to mislead consumers and may be violating consumer law. I've called on Amazon to stop the sale of ineffective COVID-19 masks. They need to fix this. And @FTC &amp; @TheJusticeDept need to investigate these practices.https://t.co/IDOdHd57Q9,it outrageous continues mislead consumers may violating consumer law called amazon stop sale ineffective covid 19 masks need fix amp need investigate practices,negative
6207,"Shri @SPK_TNCC, Leader, @INCTamilNadu Legislative Party demands NYAY for the families of Covid victims.#SpeakUpForCovidNyay https://t.co/lptBJ9Ubmh",shri tncc leader legislative party demands nyay families covid victims speakupforcovidnyay,neutral
6208,"New COVID Cases 29 Nov 2021 - 2,27330 Nov 2021 - 4,37301 Dec 2021 - 8,56102 Dec  2021 - 11,535 03 Dec 2021 - 16,055Do you know anyone in your area who tested positive for COVID-19? Who are these people &amp; where do they stay? #COVID19 #CovidVaccine",new covid cases 29 nov 2021 2 27330 nov 2021 4 37301 dec 2021 8 56102 dec 2021 11 535 03 dec 2021 16 055do know anyone area tested positive covid 19 people amp stay covid19 covidvaccine,positive
6209,"J-pop act JO1 debuted in March 2020, right as the world was closing its borders in response to COVID-19. Now they are ready to meet their fans. Here are three things we learned about the group during our interview. 👇🏻 https://t.co/ndyo6ZAG72",j pop act jo1 debuted march 2020 right world closing borders response covid 19 ready meet fans three things learned group interview,positive
6210,"""""""A lifelong mate and I have been at loggerheads since day one over this covid stuff", he's been pro-vax and obviously I'm the opposite,neutral
6211,"@SkyNews UK Summary Last updated on Friday 3 December 2021 at 4:00pmCoronavirus (COVID-19) in the UK. Deaths within 28 days of positive test.Daily143Total Deaths 145,424Cases. People tested positive.Daily 50,584 https://t.co/JiVYJ8GOMR",uk summary last updated friday 3 december 2021 4 00pmcoronavirus covid 19 uk deaths within 28 days positive test daily143total deaths 145 424cases people tested positive daily 50 584,positive
6212,Phineas and Ferb would’ve handled covid in 2 episodes max,phineas ferb would handled covid 2 episodes max,neutral
6213,"Just to let you all know, I have spent a lot of time in COVID Courts in recent months. It’s mostly handing out fines (quiet significant ones) for breaking the rules in a much lesser way than alleged at Downing Street last Christmas. #downingstreetparty",just let know spent lot time covid courts recent months mostly handing fines quiet significant ones breaking rules much lesser way alleged downing street last christmas downingstreetparty,positive
6214,I urge upon the central govt and the Prime Minister to properly audit the number of those who died of Covid  in the last 2 years and show a proper picture.: Shri K H Muniyappa#SpeakUpForCovidNyay https://t.co/Pz3o4MkQdE,i urge upon central govt prime minister properly audit number died covid last 2 years show proper picture shri k h muniyappa speakupforcovidnyay,neutral
6215,"No amount of money can bring back a life, but the demand of Rs 4 lakh compensation from the Congress party will offer some support to the families of those who died due to Covid-19.: Shri C.D. Meyyappan #SpeakUpForCovidNyay https://t.co/1WZ3qA8mYb",no amount money bring back life demand rs 4 lakh compensation congress party offer support families died due covid 19 shri c meyyappan speakupforcovidnyay,negative
6216,Please wake up. This is madness. From inside #Australia’s re-education camps… https://t.co/YWH0YZVk2q,please wake madness inside australia education camps,neutral
6217,And crickets from the right-wing conservatives. They stormed school board meetings ready to fight when schools were closed due to COVID - but not so much when schools are closed due to threats of mass shootings. https://t.co/l9HQExaS2R,and crickets right wing conservatives stormed school board meetings ready fight schools closed due covid much schools closed due threats mass shootings,positive
6218,#YGEntertainment has officially confirmed that #BLACKPINK's #LISA has fully recovered from Covid-19 and is no longer in self-isolation!👏👑💛 @BLACKPINK https://t.co/SEC1EusK4a https://t.co/Zu5M3mgNSb,ygentertainment officially confirmed blackpink lisa fully recovered covid 19 longer self isolation,positive
6219,I see teams not disclosing covid results soon.,i see teams disclosing covid results soon,neutral
6220,"Dear  @metpoliceukI wish to REPORT a crime that took place at 10 Downing Street, SW1A 2AA, on the 18th December 2020.Please investigate a serious breach of Covid regulations.Thank You.",dear wish report crime took place 10 downing street sw1a 2aa 18th december 2020 please investigate serious breach covid regulations thank you,negative
6221,"@newsmax Yes, 700,000 dead Covid victims are outraged.",yes 700 000 dead covid victims outraged,negative
6222,YG Entertainment has confirmed that Lisa is now free of COVID-19 and has come out of self-isolation! 🙏 @BLACKPINK https://t.co/rgMdgQrFZr,yg entertainment confirmed lisa free covid 19 come self isolation,positive
6223,The FDA absolutely should NOT approve Merck's experimental COVID pill molnupiravir. Here’s why it's so dangerous: https://t.co/lxEYozTRjQ,the fda absolutely approve merck experimental covid pill molnupiravir dangerous,negative
6224,The Modi govt has very tactfully tried to cover up its failures of managing Covid by distorting the number of Covid deaths.#SpeakUpForCovidNyay so the govt is forced to disclose the correct number of covid deaths. https://t.co/6FgAkhHkNd,the modi govt tactfully tried cover failures managing covid distorting number covid deaths speakupforcovidnyay govt forced disclose correct number covid deaths,negative
6225,"Modi can spent ₹20,000 crore on Central Vista, ₹8,400 crore for planes and ₹ 2,021 crore for Foreign Trips.But how come Modi doesn't have money to give ₹4,00,000 as compensation for COVID deaths?Well said @NayakRagini ji !!#SpeakUpForCovidNyay https://t.co/7CIvp2yif8",modi spent 20 000 crore central vista 8 400 crore planes 2 021 crore foreign trips come modi money give 4 00 000 compensation covid deaths well said ji speakupforcovidnyay,negative
6226,I want to draw our people's attention to 2 things: - till now Modi govt has not shared exact list of those who died of Covid- it has collected lakhs of crores under PM Cares Fund but cannot compensate Rs.4 lakh to covid victims' families: Shri @ripunbora #SpeakUpForCovidNyay https://t.co/6tlVboqaDn,i want draw people attention 2 things till modi govt shared exact list died covid collected lakhs crores pm cares fund cannot compensate rs 4 lakh covid victims families shri speakupforcovidnyay,positive
6227,I can’t fucking do this again. I can’t. It’s like hearing about each new COVID variant popping up https://t.co/rb8lTA3ULJ,i fucking like hearing new covid variant popping up,negative
